time,coin,dir,px,sz,ntl,fee,closedPnl
10/01/2025 - 22:12:49,HYPE,Close Long,21.07794332,500,10538.97166,3.688634,-60.216974
10/01/2025 - 22:14:06,HYPE/USDC,Buy,21.07443622,400,8429.774488,0.13999982,-2.9504172774014803
10/01/2025 - 22:14:23,HYPE,Close Long,21.07981653,400,8431.926612,2.951171,-47.424561000000004
10/01/2025 - 22:15:34,HYPE/USDC,Buy,21.0597163,100,2105.97163,0.03499983,-0.7370864903482292
10/01/2025 - 22:16:07,HYPE,Close Long,21.0861842,100,2108.6184200000002,0.738015,-11.219595
13/01/2025 - 01:52:52,HYPE,Open Long,22.388,100,2238.8,0.78358,-0.78358
13/01/2025 - 10:43:37,HYPE,Open Long,19.4444463,100,1944.44463,0.680553,-0.680553
13/01/2025 - 22:09:32,HYPE/USDC,Sell,21.8011596,100,2180.1159599999996,0.763039,72.89829499999999
13/01/2025 - 22:10:08,HYPE,Close Long,21.808,100,2180.8,0.76328,63.68672
13/01/2025 - 22:10:35,HYPE/USDC,Buy,21.8531037,100,2185.3103699999997,0.03499991,-0.764856662720667
13/01/2025 - 22:12:22,HYPE/USDC,Sell,21.83,1.44,31.435199999999995,0.011002,1.0148650000000001
13/01/2025 - 22:12:36,HYPE/USDC,Buy,21.848,1,21.848,0.00034996,-0.00764592608
14/01/2025 - 10:41:16,HYPE,Close Long,22.92,0.79,18.106800000000003,0.00181,1.3858249999999999
14/01/2025 - 10:41:18,HYPE,Close Long,22.92,0.76,17.4192,0.001741,1.333199
14/01/2025 - 10:41:19,HYPE,Close Long,22.92,50.58,1159.2936,0.115929,88.72784100000001
14/01/2025 - 10:41:21,HYPE,Close Long,22.92,47.87,1097.1804,0.109717,83.97393799999999
14/01/2025 - 12:47:36,HYPE,Open Long,22.214924,100,2221.4924,0.777522,-0.777522
15/01/2025 - 00:27:28,XRP,Open Short,2.6804,100,268.04,0.093814,-0.093814
15/01/2025 - 01:38:42,XRP,Open Short,2.7684,100,276.84000000000003,0.096894,-0.096894
15/01/2025 - 14:10:22,HYPE,Close Long,24.1,20.51,494.29100000000005,0.049429,59.041931999999996
15/01/2025 - 14:10:22,HYPE,Close Long,24.1,79.49,1915.709,0.19157,228.827069
15/01/2025 - 14:11:44,HYPE/USDC,Buy,23.9761758,100,2397.61758,0.03499994,-0.839164714429452
15/01/2025 - 14:12:02,HYPE/USDC,Buy,23.918,0.5,11.959,0.00017497,-0.00418493246
15/01/2025 - 15:27:55,XRP,Open Short,3,100,300,0.03,-0.03
15/01/2025 - 20:33:34,XRP,Open Short,2.9532,100,295.32,0.103362,-0.103362
15/01/2025 - 22:39:49,XRP,Open Short,3.0723,100,307.22999999999996,0.10753,-0.10753
15/01/2025 - 23:14:20,XRP,Open Short,3.1624,100,316.24,0.110684,-0.110684
15/01/2025 - 23:14:27,XRP,Open Short,3.1659,100,316.59000000000003,0.110806,-0.110806
15/01/2025 - 23:14:37,XRP,Open Short,3.1887,100,318.87,0.111604,-0.111604
15/01/2025 - 23:14:56,XRP,Open Short,3.1827,100,318.27,0.111394,-0.111394
15/01/2025 - 23:15:34,XRP,Open Short,3.19,5,15.95,0.001595,-0.001595
15/01/2025 - 23:15:36,XRP,Open Short,3.19,95,303.05,0.030305,-0.030305
15/01/2025 - 23:16:41,XRP,Open Short,3.1927,100,319.27,0.111744,-0.111744
15/01/2025 - 23:17:04,XRP,Open Short (Price Improved),3.2,100,320,0.032,-0.032
16/01/2025 - 00:42:11,XRP,Close Short,2.9593,200,591.86,0.207151,20.544449
16/01/2025 - 00:42:24,XRP,Close Short,2.9592,500,1479.6000000000001,0.51786,51.41114
16/01/2025 - 00:42:42,XRP,Close Short,2.9572,500,1478.6,0.51751,52.41149
16/01/2025 - 00:54:17,XRP,Open Short,3,100,300,0.03,-0.03
16/01/2025 - 01:25:24,XRP,Open Short,3.033,100,303.3,0.106155,-0.106155
16/01/2025 - 11:33:21,XRP,Open Short,3.2,100,320,0.032,-0.032
16/01/2025 - 12:48:41,XRP,Open Short,3.2904,100,329.04,0.115164,-0.115164
16/01/2025 - 12:58:10,XRP,Open Short,3.321,100,332.1,0.116235,-0.116235
16/01/2025 - 13:01:59,XRP,Close Short,3.3555,500,1677.75,0.587212,-93.897212
17/01/2025 - 21:21:58,HYPE,Close Long,23.4651842,100,2346.51842,0.821281,223.807139
17/01/2025 - 21:22:27,HYPE/USDC,Buy,23.4304288,200,4686.08576,0.06999985,-1.64012650143568
17/01/2025 - 21:24:01,HYPE,Close Long,23.50143425,200,4700.2868499999995,1.6451,454.86175
17/01/2025 - 21:25:10,HYPE,Open Long,23.53857,200,4707.714,1.647696,-1.647696
18/01/2025 - 05:52:46,HYPE/USDC,Sell,21.83905888,1800,39310.305984,13.758605,532.264807
18/01/2025 - 05:53:18,HYPE,Open Long,21.92024758,3000,65760.74274,23.01624,-23.01624
18/01/2025 - 06:16:33,HYPE,Close Long,21.95,46.49,1020.4555,0.102045,8.489307
18/01/2025 - 06:17:41,HYPE,Close Long,21.932,17.2,377.2304,0.13203,2.73693
18/01/2025 - 06:17:42,HYPE,Close Long,21.93,22.8,500.004,0.05,3.70744
18/01/2025 - 06:17:56,HYPE,Close Long,21.93,460,10087.8,1.00878,74.79922
18/01/2025 - 06:18:25,HYPE,Close Long,22,700,15400,1.54,162.82000000000002
18/01/2025 - 06:18:50,HYPE,Close Long,22.005,3.51,77.23755,0.027033,0.814665
18/01/2025 - 06:19:00,HYPE,Close Long,22,11.06,243.32000000000002,0.024332,2.572556
18/01/2025 - 06:19:00,HYPE,Close Long,22,38.94,856.68,0.085668,9.057444
18/01/2025 - 06:42:43,HYPE/USDC,Buy,22.5,1200,27000,0.11999994,-2.69999865
18/01/2025 - 06:43:31,HYPE,Close Long,22.60554346,1200,27126.652152,9.494318,998.917832
18/01/2025 - 15:22:39,HYPE,Open Long,20.38193147,300,6114.579441000001,2.140101,-2.140101
18/01/2025 - 16:00:56,TRUMP,Open Short,33,100,3300,1.155,-1.155
18/01/2025 - 16:01:50,TRUMP,Close Short,33,100,3300,1.155,-1.155
18/01/2025 - 16:02:35,TRUMP,Open Short,33.2,10,332,0.0332,-0.0332
18/01/2025 - 16:02:39,TRUMP,Open Short,33,10,330,0.033,-0.033
18/01/2025 - 16:03:15,TRUMP,Close Short,33.099,20,661.9799999999999,0.231693,-0.21169300000000002
18/01/2025 - 16:04:45,TRUMP,Open Short,33,100,3300,0.33,-0.33
18/01/2025 - 16:13:29,TRUMP,Close Short,33.095908,100,3309.5908,1.158356,-10.749156
18/01/2025 - 23:48:57,HYPE,Close Long,21.769,100,2176.8999999999996,0.761915,16.218085000000002
18/01/2025 - 23:49:14,HYPE,Close Long,21.771,100,2177.1,0.761985,16.418015
18/01/2025 - 23:49:19,HYPE,Close Long,21.769,100,2176.8999999999996,0.761915,16.218085000000002
19/01/2025 - 02:56:41,HYPE/USDC,Buy,21.47802083,300,6443.406249,0.10499989,-2.2551898245677084
19/01/2025 - 02:56:56,HYPE,Close Long,21.532083,300,6459.6249,2.260863,-22.395963000000002
19/01/2025 - 02:57:59,HYPE/USDC,Buy,21.4456917,100,2144.56917,0.03499993,-0.750597708301581
19/01/2025 - 02:58:09,HYPE,Close Long,21.4939308,100,2149.3930800000003,0.752287,-11.279207000000001
19/01/2025 - 04:25:15,HYPE,Open Long,20.551,100,2055.1,0.719285,-0.719285
19/01/2025 - 05:01:31,TRUMP,Open Short,38.259,10,382.59000000000003,0.133906,-0.133906
19/01/2025 - 05:01:42,TRUMP,Open Short,38.676,90,3480.84,1.218294,-1.218294
19/01/2025 - 05:06:16,TRUMP,Close Short,37.525,100,3752.5,1.313375,109.61662500000001
19/01/2025 - 05:10:37,TRUMP,Open Short,39,100,3900,0.39,-0.39
19/01/2025 - 05:14:09,TRUMP,Close Short,38,100,3800,0.38,99.62
19/01/2025 - 05:29:32,TRUMP,Open Short,38.036,100,3803.6000000000004,1.331259,-1.331259
19/01/2025 - 05:32:56,TRUMP,Close Short,37,100,3700,0.37,103.22999999999999
19/01/2025 - 11:20:37,HYPE,Close Long,22,100,2200,0.22,45.370000000000005
19/01/2025 - 12:30:25,TRUMP,Open Short,72.497,100,7249.7,2.537395,-2.537395
19/01/2025 - 12:36:26,TRUMP,Close Short,71.447,100,7144.700000000001,2.500644,102.499356
19/01/2025 - 13:17:26,TRUMP,Open Short,73.139,10,731.39,0.255986,-0.255986
19/01/2025 - 13:21:26,TRUMP,Close Short,72,10,720,0.072,11.318000000000001
19/01/2025 - 13:29:47,TRUMP,Open Short,72.3,1.4,101.21999999999998,0.010122,-0.010122
19/01/2025 - 13:29:49,TRUMP,Open Short,72.248,10,722.48,0.252868,-0.252868
19/01/2025 - 13:29:49,TRUMP,Open Short,72.3,0.2,14.46,0.001446,-0.001446
19/01/2025 - 13:29:50,TRUMP,Open Short,72.3,8.4,607.32,0.060732,-0.060732
19/01/2025 - 13:43:18,HYPE,Close Long,22.837,100,2283.7,0.799295,128.490705
19/01/2025 - 13:44:17,HYPE/USDC,Buy,22.76,100,2276,0.035,-0.7966000000000001
19/01/2025 - 13:50:31,TRUMP,Close Short,71.743,20,1434.86,0.502201,10.117799
19/01/2025 - 14:45:18,PURR/USDC,Buy,0.36198,4500,1628.91,1.57499,-0.5701148802
19/01/2025 - 18:42:44,HYPE,Close Long,23.4845634,100,2348.4563399999997,0.821957,193.224383
19/01/2025 - 18:46:09,HYPE,Close Long,23.527,100,2352.7000000000003,0.823445,197.466555
19/01/2025 - 21:52:43,HYPE/USDC,Sell,20.74520809,700,14521.645663,5.082572,-1077.068675
19/01/2025 - 21:53:03,HYPE,Open Long,20.83976146,1000,20839.761459999998,7.293912,-7.293912
19/01/2025 - 22:04:19,HYPE,Close Long,21.058,21,442.218,0.154776,-4.445076
19/01/2025 - 22:04:32,HYPE,Close Long,21.0230023,461.84,9709.263382232,3.398238,-113.91549
19/01/2025 - 22:04:32,HYPE,Close Long,21,17.16,360.36,0.036036,-4.537104
19/01/2025 - 22:07:45,PURR/USDC,Buy,0.20349,5500,1119.195,1.92499,-0.3917162151
19/01/2025 - 22:17:24,PURR/USDC,Buy,0.20518455,5000,1025.92275,1.7499,-0.359052444045
19/01/2025 - 22:17:52,PURR/USDC,Buy,0.20752538,5000,1037.6269,1.74995,-0.363159038731
19/01/2025 - 22:18:59,HYPE,Close Long,21.32972068,500,10664.860340000001,3.732695,29.977645000000003
19/01/2025 - 22:19:22,HYPE,Open Long,21.21283574,500,10606.41787,3.712242,-3.712242
19/01/2025 - 22:49:39,HYPE,Open Long,19.9054895,100,1990.54895,0.69669,-0.69669
19/01/2025 - 22:53:22,HYPE,Close Long,20.5,78.55,1610.2749999999999,0.563596,-54.441041
19/01/2025 - 22:53:25,HYPE,Close Long,20.5,21.45,439.72499999999997,0.043972,-14.756527
19/01/2025 - 23:21:27,HYPE,Open Long,19.8670145,100,1986.70145,0.695345,-0.695345
19/01/2025 - 23:31:41,HYPE,Open Long,19.4211503,100,1942.1150300000002,0.679738,-0.679738
19/01/2025 - 23:44:39,HYPE,Close Long,20.511,100,2051.1,0.717885,-54.187885
